sample_event_id,observatory_code,location_name,transect,quadrat,sample_collection_date,scientific_name,taxonomic_id,macrophyte_id,sample_dry_mass_g,macrophyte_mass_notes
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.37,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,NA,NA,fouling,0.033999999999999975,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.034,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,NA,NA,fouling,0.006000000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.16900000000000004,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.019999999999999962,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.395,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,NA,NA,fouling,0.03799999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.187,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.20799999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.17900000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,NA,NA,fouling,0.05200000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,48,2022-07-14,NA,NA,fouling,0.022999999999999965,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,48,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.239,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,24,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.487,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,24,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.04899999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,24,2022-07-14,NA,NA,fouling,0.033,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,16,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.03899999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,16,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.33399999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,16,2022-07-14,NA,NA,fouling,0.062,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,40,2022-07-14,NA,NA,fouling,0.02300000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,40,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.16400000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,40,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.09499999999999997,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,48,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.488,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,48,2022-07-14,NA,NA,fouling,0.03500000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,48,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.043999999999999984,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,8,2022-07-14,NA,NA,fouling,0.024999999999999967,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,8,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.518,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,8,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.03200000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,40,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.32700000000000007,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,40,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.035999999999999976,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,40,2022-07-14,NA,NA,fouling,0,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,48,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.14600000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,48,2022-07-14,NA,NA,fouling,0.01200000000000001,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,32,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.27299999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,32,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.05199999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,32,2022-07-14,NA,NA,fouling,0.025000000000000022,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,32,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.244,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,32,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.009000000000000008,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,32,2022-07-14,NA,NA,fouling,0.007999999999999952,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,16,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.4079999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,16,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.07899999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,16,2022-07-14,NA,NA,fouling,0.043999999999999984,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,24,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.273,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,24,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.263,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,24,2022-07-14,NA,NA,fouling,0.010000000000000009,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,32,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.13,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,32,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.364,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,32,2022-07-14,NA,NA,fouling,0.014000000000000012,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,24,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.129,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,24,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.20999999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,24,2022-07-14,NA,NA,fouling,0,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,8,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,1.658,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,8,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.397,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,8,2022-07-19,NA,NA,fouling,0.05199999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,8,2022-07-19,NA,NA,macroalgae_various,0.02100000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,32,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.503,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,32,2022-07-19,NA,NA,fouling,0.14300000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,48,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.014000000000000012,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,48,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.059,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,48,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.296,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,48,2022-07-19,NA,NA,fouling,0.03699999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,16,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.549,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,16,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.279,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,16,2022-07-19,NA,NA,macroalgae_various,0.040000000000000036,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,16,2022-07-19,NA,NA,fouling,0.064,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,24,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,1.093,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,24,2022-07-19,NA,NA,macroalgae_various,0.129,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,24,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.02100000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,24,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.5369999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,24,2022-07-19,NA,NA,fouling,0.024999999999999967,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,40,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,1.1119999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,40,2022-07-19,NA,NA,macroalgae_various,0.178,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,40,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.11500000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,40,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.21999999999999997,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,40,2022-07-19,NA,NA,fouling,0.02200000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,16,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.6629999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,16,2022-07-19,NA,NA,macroalgae_various,0.063,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,16,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.6990000000000001,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,16,2022-07-19,NA,NA,fouling,0.056999999999999995,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,40,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.593,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,40,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.182,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,40,2022-07-19,NA,NA,fouling,0.006000000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,40,2022-07-19,NA,NA,macroalgae_various,0.044999999999999984,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,24,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.41999999999999993,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,24,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.23099999999999993,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,3,24,2022-07-19,NA,NA,fouling,0.016000000000000014,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,48,2022-07-19,NA,NA,macroalgae_various,0.15800000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,48,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,1.074,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,48,2022-07-19,NA,NA,fouling,0.05399999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,48,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.47300000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,8,2022-07-19,NA,NA,macroalgae_various,0.07700000000000001,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,8,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.37899999999999995,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,8,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.20299999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,8,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.944,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,8,2022-07-19,NA,NA,fouling,0.06300000000000006,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,8,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.8930000000000001,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,8,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.02200000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,8,2022-07-19,Syringodium filiforme,374715,Syringodium filiforme,0.238,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,8,2022-07-19,NA,NA,fouling,0.08700000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,48,2022-07-19,NA,NA,fouling,0.04300000000000004,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,48,2022-07-19,NA,NA,macroalgae_various,0.04299999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,48,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.793,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,48,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.41700000000000004,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,32,2022-07-19,NA,NA,macroalgae_various,0.20299999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,32,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.744,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,32,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.19400000000000006,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,32,2022-07-19,NA,NA,fouling,0.00799999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,40,2022-07-19,NA,NA,macroalgae_various,0.121,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,40,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.963,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,40,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.4899999999999999,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,40,2022-07-19,NA,NA,fouling,0.020000000000000018,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,32,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,0.42300000000000004,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,32,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.03699999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,32,2022-07-19,NA,NA,macroalgae_various,0.02699999999999997,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,16,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,2.358,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,16,2022-07-19,NA,NA,macroalgae_various,0.10000000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,16,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.249,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,2,16,2022-07-19,NA,NA,fouling,0.03199999999999997,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,24,2022-07-19,Acanthophora spicifera,211768,Acanthophora spicifera,2.984,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,24,2022-07-19,Halodule wrightii,208925,Halodule wrightii,0.16399999999999992,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,24,2022-07-19,NA,NA,macroalgae_various,0.16000000000000003,NA
USA-IRL_seagrass_2022,USA-IRL,Bear Point Seagrass,1,24,2022-07-19,NA,NA,fouling,0.008000000000000007,NA
