scientific_name,taxonomic_id,database_table
Callinectes sapidus,107379,beach_seines_l2_standardized_abundance
Cyprinodon variegatus,159285,beach_seines_l2_standardized_abundance
Fundulus diaphanus,159296,beach_seines_l2_standardized_abundance
Fundulus heteroclitus,159306,beach_seines_l2_standardized_abundance
Gobiosoma bosc,159767,beach_seines_l2_standardized_abundance
Menidia beryllina,159227,beach_seines_l2_standardized_abundance
Menidia menidia,159228,beach_seines_l2_standardized_abundance
Palaemon pugio,932401,beach_seines_l2_standardized_abundance
Syngnathus fuscus,159451,beach_seines_l2_standardized_abundance
Trinectes maculatus,159271,beach_seines_l2_standardized_abundance
Anchoa mitchilli,158699,beach_seines_l2_standardized_abundance
Brevoortia tyrannus,158691,beach_seines_l2_standardized_abundance
Esox niger,888530,beach_seines_l2_standardized_abundance
Fundulus majalis,159308,beach_seines_l2_standardized_abundance
Gambusia holbrooki,276134,beach_seines_l2_standardized_abundance
Leiostomus xanthurus,159322,beach_seines_l2_standardized_abundance
Lucania parva,159310,beach_seines_l2_standardized_abundance
Micropogonias undulatus,151158,beach_seines_l2_standardized_abundance
Morone americana,151177,beach_seines_l2_standardized_abundance
Callinectes sapidus,107379,beach_seines_l2_standardized_length
Cyprinodon variegatus,159285,beach_seines_l2_standardized_length
Fundulus diaphanus,159296,beach_seines_l2_standardized_length
Fundulus heteroclitus,159306,beach_seines_l2_standardized_length
Gobiosoma bosc,159767,beach_seines_l2_standardized_length
Menidia beryllina,159227,beach_seines_l2_standardized_length
Menidia menidia,159228,beach_seines_l2_standardized_length
Palaemon pugio,932401,beach_seines_l2_standardized_length
Syngnathus fuscus,159451,beach_seines_l2_standardized_length
Trinectes maculatus,159271,beach_seines_l2_standardized_length
Anchoa mitchilli,158699,beach_seines_l2_standardized_length
Brevoortia tyrannus,158691,beach_seines_l2_standardized_length
Esox niger,888530,beach_seines_l2_standardized_length
Fundulus majalis,159308,beach_seines_l2_standardized_length
Gambusia holbrooki,276134,beach_seines_l2_standardized_length
Leiostomus xanthurus,159322,beach_seines_l2_standardized_length
Lucania parva,159310,beach_seines_l2_standardized_length
Micropogonias undulatus,151158,beach_seines_l2_standardized_length
Morone americana,151177,beach_seines_l2_standardized_length
Astropecten aranciacus,123856,diver_visual_survey_l2_standardized_fish_survey_data
Canthigaster capistrata,234105,diver_visual_survey_l2_standardized_fish_survey_data
Cryptosoma cristatum,107272,diver_visual_survey_l2_standardized_fish_survey_data
Halichoeres bivittatus,158815,diver_visual_survey_l2_standardized_fish_survey_data
Heteroconger longissimus,126288,diver_visual_survey_l2_standardized_fish_survey_data
Hippocampus,126224,diver_visual_survey_l2_standardized_fish_survey_data
Holothuria,123456,diver_visual_survey_l2_standardized_fish_survey_data
Lutjanus,159791,diver_visual_survey_l2_standardized_fish_survey_data
Lytechinus variegatus,367850,diver_visual_survey_l2_standardized_fish_survey_data
Sparisoma cretense,231441,diver_visual_survey_l2_standardized_fish_survey_data
Sphoeroides marmoratus,127416,diver_visual_survey_l2_standardized_fish_survey_data
Spondyliosoma cantharus,127066,diver_visual_survey_l2_standardized_fish_survey_data
Xyrichtys novacula,126971,diver_visual_survey_l2_standardized_fish_survey_data
Cassiopea andromeda,135295,diver_visual_survey_l2_standardized_fish_survey_data
Chaetodon capistratus,159661,diver_visual_survey_l2_standardized_fish_survey_data
Chordata,1821,diver_visual_survey_l2_standardized_fish_survey_data
Clupeidae,125464,diver_visual_survey_l2_standardized_fish_survey_data
Condylactis gigantea,283419,diver_visual_survey_l2_standardized_fish_survey_data
Hypoplectrus puella,281120,diver_visual_survey_l2_standardized_fish_survey_data
Mullus surmuletus,126986,diver_visual_survey_l2_standardized_fish_survey_data
Pagellus erythrinus,127060,diver_visual_survey_l2_standardized_fish_survey_data
Crassostrea virginica,140657,oyster_reef_monitoring_l2_standardized_excavation_length
Isognomon alatus,420736,oyster_reef_monitoring_l2_standardized_excavation_length
Macoma balthica,141579,oyster_reef_monitoring_l2_standardized_excavation_length
Mytilopsis leucophaeata,156887,oyster_reef_monitoring_l2_standardized_excavation_length
Brachidontes exustus,397026,oyster_reef_monitoring_l2_standardized_excavation_length
Ischadium recurvum,156861,oyster_reef_monitoring_l2_standardized_excavation_length
Amphibalanus improvisus,421139,oyster_reef_monitoring_l2_standardized_excavation_count
Crassostrea virginica,140657,oyster_reef_monitoring_l2_standardized_excavation_count
Isognomon alatus,420736,oyster_reef_monitoring_l2_standardized_excavation_count
Macoma balthica,141579,oyster_reef_monitoring_l2_standardized_excavation_count
Mytilopsis leucophaeata,156887,oyster_reef_monitoring_l2_standardized_excavation_count
Victorella pavida,111673,oyster_reef_monitoring_l2_standardized_excavation_count
Brachidontes exustus,397026,oyster_reef_monitoring_l2_standardized_excavation_count
Ischadium recurvum,156861,oyster_reef_monitoring_l2_standardized_excavation_count
Alitta succinea,234850,oyster_reef_monitoring_l2_standardized_biobox_data
Alpheus,106978,oyster_reef_monitoring_l2_standardized_biobox_data
Alpheus heterochaelis,158348,oyster_reef_monitoring_l2_standardized_biobox_data
Alpheus viridari,421744,oyster_reef_monitoring_l2_standardized_biobox_data
Aratus pisonii,422190,oyster_reef_monitoring_l2_standardized_biobox_data
Chasmodes bosquianus,159598,oyster_reef_monitoring_l2_standardized_biobox_data
Crepidula maculosa,419704,oyster_reef_monitoring_l2_standardized_biobox_data
Diodora sayi,419347,oyster_reef_monitoring_l2_standardized_biobox_data
Elasmopus levis,421508,oyster_reef_monitoring_l2_standardized_biobox_data
Excorallana tricornis,260378,oyster_reef_monitoring_l2_standardized_biobox_data
Gastropoda,101,oyster_reef_monitoring_l2_standardized_biobox_data
Gobiosoma bosc,159767,oyster_reef_monitoring_l2_standardized_biobox_data
Gonodactylus chiragra,210242,oyster_reef_monitoring_l2_standardized_biobox_data
Lepidoptera,989022,oyster_reef_monitoring_l2_standardized_biobox_data
Libinia,106906,oyster_reef_monitoring_l2_standardized_biobox_data
Melita nitida,146922,oyster_reef_monitoring_l2_standardized_biobox_data
Pachygrapsus transversus,107457,oyster_reef_monitoring_l2_standardized_biobox_data
Palaemon,107032,oyster_reef_monitoring_l2_standardized_biobox_data
Palaemon pugio,932401,oyster_reef_monitoring_l2_standardized_biobox_data
Panopeus herbstii,158436,oyster_reef_monitoring_l2_standardized_biobox_data
Panopeus occidentalis,422086,oyster_reef_monitoring_l2_standardized_biobox_data
Parhyale hawaiensis,221362,oyster_reef_monitoring_l2_standardized_biobox_data
Phrontis vibex,877061,oyster_reef_monitoring_l2_standardized_biobox_data
Pyrgocythara plicosa,160476,oyster_reef_monitoring_l2_standardized_biobox_data
Rhithropanopeus harrisii,107414,oyster_reef_monitoring_l2_standardized_biobox_data
Amphipoda,1135,oyster_reef_monitoring_l2_standardized_biobox_data
Anguilla rostrata,158562,oyster_reef_monitoring_l2_standardized_biobox_data
Boonea impressa,420437,oyster_reef_monitoring_l2_standardized_biobox_data
Cerithium muscarum,419523,oyster_reef_monitoring_l2_standardized_biobox_data
Crepidula fornicata,138963,oyster_reef_monitoring_l2_standardized_biobox_data
Decapoda,1130,oyster_reef_monitoring_l2_standardized_biobox_data
Dyspanopeus sayi,107412,oyster_reef_monitoring_l2_standardized_biobox_data
Eurypanopeus abbreviatus,422075,oyster_reef_monitoring_l2_standardized_biobox_data
Eurypanopeus depressus,158416,oyster_reef_monitoring_l2_standardized_biobox_data
Gobiesox strumosus,158787,oyster_reef_monitoring_l2_standardized_biobox_data
Goniopsis cruentata,422187,oyster_reef_monitoring_l2_standardized_biobox_data
Hargeria rapax,247538,oyster_reef_monitoring_l2_standardized_biobox_data
Hexapanopeus angustifrons,158424,oyster_reef_monitoring_l2_standardized_biobox_data
Hippolyte,106987,oyster_reef_monitoring_l2_standardized_biobox_data
Lysianassidae,101395,oyster_reef_monitoring_l2_standardized_biobox_data
Menippe mercenaria,422070,oyster_reef_monitoring_l2_standardized_biobox_data
Micropanope,246346,oyster_reef_monitoring_l2_standardized_biobox_data
Mithrax,158428,oyster_reef_monitoring_l2_standardized_biobox_data
Opsanus tau,158782,oyster_reef_monitoring_l2_standardized_biobox_data
Pachygrapsus gracilis,241200,oyster_reef_monitoring_l2_standardized_biobox_data
Palaemon vulgaris,932406,oyster_reef_monitoring_l2_standardized_biobox_data
Petrolisthes armatus,396707,oyster_reef_monitoring_l2_standardized_biobox_data
Polychaeta,883,oyster_reef_monitoring_l2_standardized_biobox_data
Urosalpinx cinerea,140429,oyster_reef_monitoring_l2_standardized_biobox_data
Caulerpa sertularioides,144474,seagrass_monitoring_l2_standardized_cover
Chlorophyta,801,seagrass_monitoring_l2_standardized_cover
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_cover
Dictyota,144086,seagrass_monitoring_l2_standardized_cover
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_cover
Halophila ovalis,208930,seagrass_monitoring_l2_standardized_cover
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_cover
Zannichellia palustris,416222,seagrass_monitoring_l2_standardized_cover
Acanthophora spicifera,211768,seagrass_monitoring_l2_standardized_cover
Caulerpa,143816,seagrass_monitoring_l2_standardized_cover
Halimeda,143820,seagrass_monitoring_l2_standardized_cover
Halophila engelmannii,374722,seagrass_monitoring_l2_standardized_cover
Phaeophyceae,830,seagrass_monitoring_l2_standardized_cover
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_cover
Ulothrix speciosa,145930,seagrass_monitoring_l2_standardized_cover
Gastropoda,101,seagrass_monitoring_l2_standardized_macroinvertebrates
Holothuria,123456,seagrass_monitoring_l2_standardized_macroinvertebrates
Lytechinus williamsi,422489,seagrass_monitoring_l2_standardized_macroinvertebrates
Echinoidea,123082,seagrass_monitoring_l2_standardized_macroinvertebrates
Paguristes,106844,seagrass_monitoring_l2_standardized_macroinvertebrates
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_shoot_count
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_shoot_count
Halophila ovalis,208930,seagrass_monitoring_l2_standardized_shoot_count
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_shoot_count
Zannichellia palustris,416222,seagrass_monitoring_l2_standardized_shoot_count
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_shoot_count
Caulerpa sertularioides,144474,seagrass_monitoring_l2_standardized_macrophyte_mass
Chlorophyta,801,seagrass_monitoring_l2_standardized_macrophyte_mass
Dictyota,144086,seagrass_monitoring_l2_standardized_macrophyte_mass
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_macrophyte_mass
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_macrophyte_mass
Zannichellia palustris,416222,seagrass_monitoring_l2_standardized_macrophyte_mass
Acanthophora spicifera,211768,seagrass_monitoring_l2_standardized_macrophyte_mass
Crassiphycus usneoides,1327608,seagrass_monitoring_l2_standardized_macrophyte_mass
Gracilaria,144188,seagrass_monitoring_l2_standardized_macrophyte_mass
Halimeda,143820,seagrass_monitoring_l2_standardized_macrophyte_mass
Halimeda opuntia,144482,seagrass_monitoring_l2_standardized_macrophyte_mass
Halophila decipiens,145713,seagrass_monitoring_l2_standardized_macrophyte_mass
Hypnea musciformis,145634,seagrass_monitoring_l2_standardized_macrophyte_mass
Hypnea spinella,145635,seagrass_monitoring_l2_standardized_macrophyte_mass
Rhodophyta,852,seagrass_monitoring_l2_standardized_macrophyte_mass
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_macrophyte_mass
Acteocina canaliculata,160065,seagrass_monitoring_l2_standardized_epifauna_data
Alpheus paracrinitus,210522,seagrass_monitoring_l2_standardized_epifauna_data
Ampithoe longimana,158026,seagrass_monitoring_l2_standardized_epifauna_data
Ampithoe ramondi,102000,seagrass_monitoring_l2_standardized_epifauna_data
Arthropoda,1065,seagrass_monitoring_l2_standardized_epifauna_data
Astyris lunata,160102,seagrass_monitoring_l2_standardized_epifauna_data
Bivalvia,105,seagrass_monitoring_l2_standardized_epifauna_data
Capitella,129211,seagrass_monitoring_l2_standardized_epifauna_data
Cerapus cudjoe,421589,seagrass_monitoring_l2_standardized_epifauna_data
Cerithium lutosum,419522,seagrass_monitoring_l2_standardized_epifauna_data
Costoanachis avara,160222,seagrass_monitoring_l2_standardized_epifauna_data
Cumacea,1137,seagrass_monitoring_l2_standardized_epifauna_data
Cymadusa compta,158082,seagrass_monitoring_l2_standardized_epifauna_data
Cypraeidae,23022,seagrass_monitoring_l2_standardized_epifauna_data
Cystiscidae,23023,seagrass_monitoring_l2_standardized_epifauna_data
Deutella incerta,421581,seagrass_monitoring_l2_standardized_epifauna_data
Ericthonius brasiliensis,102401,seagrass_monitoring_l2_standardized_epifauna_data
Fissurellidae,111,seagrass_monitoring_l2_standardized_epifauna_data
Gastropoda,101,seagrass_monitoring_l2_standardized_epifauna_data
Grandidierella bonnieroides,211405,seagrass_monitoring_l2_standardized_epifauna_data
Granulina ovuliformis,532891,seagrass_monitoring_l2_standardized_epifauna_data
Harrieta faxoni,260565,seagrass_monitoring_l2_standardized_epifauna_data
Hippolyte zostericola,158361,seagrass_monitoring_l2_standardized_epifauna_data
Ichnopus,101614,seagrass_monitoring_l2_standardized_epifauna_data
Lembos websteri,102033,seagrass_monitoring_l2_standardized_epifauna_data
Libinia dubia,107335,seagrass_monitoring_l2_standardized_epifauna_data
Lytechinus,240777,seagrass_monitoring_l2_standardized_epifauna_data
Marshallora nigrocincta,160363,seagrass_monitoring_l2_standardized_epifauna_data
Mediomastus californiensis,157483,seagrass_monitoring_l2_standardized_epifauna_data
Mysida,149668,seagrass_monitoring_l2_standardized_epifauna_data
Nereididae,22496,seagrass_monitoring_l2_standardized_epifauna_data
Nereis,129379,seagrass_monitoring_l2_standardized_epifauna_data
Nudibranchia,1762,seagrass_monitoring_l2_standardized_epifauna_data
Ophiactis savignyi,125122,seagrass_monitoring_l2_standardized_epifauna_data
Ophiuroidea,123084,seagrass_monitoring_l2_standardized_epifauna_data
Orbiniidae,902,seagrass_monitoring_l2_standardized_epifauna_data
Palaemon,107032,seagrass_monitoring_l2_standardized_epifauna_data
Palaemon pugio,932401,seagrass_monitoring_l2_standardized_epifauna_data
Panopeus herbstii,158436,seagrass_monitoring_l2_standardized_epifauna_data
Panopeus occidentalis,422086,seagrass_monitoring_l2_standardized_epifauna_data
Paracaprella tenuis,160028,seagrass_monitoring_l2_standardized_epifauna_data
Paracerceis caudata,261817,seagrass_monitoring_l2_standardized_epifauna_data
Parvanachis obesa,160440,seagrass_monitoring_l2_standardized_epifauna_data
Phascolion,136025,seagrass_monitoring_l2_standardized_epifauna_data
Photis,101563,seagrass_monitoring_l2_standardized_epifauna_data
Phrontis vibex,877061,seagrass_monitoring_l2_standardized_epifauna_data
Prionospio,129620,seagrass_monitoring_l2_standardized_epifauna_data
Prunum apicinum,420149,seagrass_monitoring_l2_standardized_epifauna_data
Pyrgocythara plicosa,160476,seagrass_monitoring_l2_standardized_epifauna_data
Rhithropanopeus harrisii,107414,seagrass_monitoring_l2_standardized_epifauna_data
Tanaidacea,1133,seagrass_monitoring_l2_standardized_epifauna_data
Turbonilla dalli,420483,seagrass_monitoring_l2_standardized_epifauna_data
Ampelisca verrilli,158023,seagrass_monitoring_l2_standardized_epifauna_data
Amphipoda,1135,seagrass_monitoring_l2_standardized_epifauna_data
Amphithrax hemphilli,1258715,seagrass_monitoring_l2_standardized_epifauna_data
Aonides mayaguezensis,157179,seagrass_monitoring_l2_standardized_epifauna_data
Bittiolum varium,160174,seagrass_monitoring_l2_standardized_epifauna_data
Bulla striata,138940,seagrass_monitoring_l2_standardized_epifauna_data
Caecum floridanum,419588,seagrass_monitoring_l2_standardized_epifauna_data
Callinectes,106921,seagrass_monitoring_l2_standardized_epifauna_data
Caridea,106674,seagrass_monitoring_l2_standardized_epifauna_data
Ceratonereis mirabilis,130372,seagrass_monitoring_l2_standardized_epifauna_data
Cerithium atratum,224572,seagrass_monitoring_l2_standardized_epifauna_data
Cerithium litteratum,216687,seagrass_monitoring_l2_standardized_epifauna_data
Corophium,101489,seagrass_monitoring_l2_standardized_epifauna_data
Crepidula convexa,160228,seagrass_monitoring_l2_standardized_epifauna_data
Cuapetes americanus,514508,seagrass_monitoring_l2_standardized_epifauna_data
Decapoda,1130,seagrass_monitoring_l2_standardized_epifauna_data
Dissonidae,346012,seagrass_monitoring_l2_standardized_epifauna_data
Dulichiella appendiculata,421504,seagrass_monitoring_l2_standardized_epifauna_data
Epitonium candeanum,419806,seagrass_monitoring_l2_standardized_epifauna_data
Erichsonella attenuata,157887,seagrass_monitoring_l2_standardized_epifauna_data
Eurypanopeus depressus,158416,seagrass_monitoring_l2_standardized_epifauna_data
Exogone dispar,333453,seagrass_monitoring_l2_standardized_epifauna_data
Haminoea antillarum,420524,seagrass_monitoring_l2_standardized_epifauna_data
Haminoea petitii,532293,seagrass_monitoring_l2_standardized_epifauna_data
Hargeria rapax,247538,seagrass_monitoring_l2_standardized_epifauna_data
Hexapanopeus paulensis,422081,seagrass_monitoring_l2_standardized_epifauna_data
Hippolyte pleuracantha,158360,seagrass_monitoring_l2_standardized_epifauna_data
Isopoda,1131,seagrass_monitoring_l2_standardized_epifauna_data
Japonactaeon punctostriatus,420514,seagrass_monitoring_l2_standardized_epifauna_data
Lembos unifasciatus,422677,seagrass_monitoring_l2_standardized_epifauna_data
Lysianopsis alba,158036,seagrass_monitoring_l2_standardized_epifauna_data
Megalops,125726,seagrass_monitoring_l2_standardized_epifauna_data
Melphidippidae,101398,seagrass_monitoring_l2_standardized_epifauna_data
Micropanope,246346,seagrass_monitoring_l2_standardized_epifauna_data
Modulidae,196285,seagrass_monitoring_l2_standardized_epifauna_data
Mollusca,51,seagrass_monitoring_l2_standardized_epifauna_data
Nanoplax xanthiformis,422113,seagrass_monitoring_l2_standardized_epifauna_data
Nassarius acutus,160395,seagrass_monitoring_l2_standardized_epifauna_data
Pectinidae,213,seagrass_monitoring_l2_standardized_epifauna_data
Phasianellidae,151267,seagrass_monitoring_l2_standardized_epifauna_data
Polychaeta,883,seagrass_monitoring_l2_standardized_epifauna_data
Polyplacophora,55,seagrass_monitoring_l2_standardized_epifauna_data
Pycnogonida,1302,seagrass_monitoring_l2_standardized_epifauna_data
Quadrimaera quadrimana,421523,seagrass_monitoring_l2_standardized_epifauna_data
Sipuncula,1268,seagrass_monitoring_l2_standardized_epifauna_data
Smaragdia,138255,seagrass_monitoring_l2_standardized_epifauna_data
Smaragdia viridis,140570,seagrass_monitoring_l2_standardized_epifauna_data
Turbonilla toyatani,160091,seagrass_monitoring_l2_standardized_epifauna_data
Unciola,101474,seagrass_monitoring_l2_standardized_epifauna_data
Vitta virginea,865834,seagrass_monitoring_l2_standardized_epifauna_data
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_blade_measurements
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_blade_measurements
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_blade_measurements
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_blade_measurements
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
